id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
3923741,klima kombi  güvenlik şehir merkezi,Fatih,41.02893,28.93522,Entire home/apt,1152,0
3926451,taksimde fulll manzaralı daire,Beyoglu,41.03642,28.97858,Entire home/apt,398,0
3926665,Family Farm House in Istanbul,Catalca,41.10296,28.39968,Entire home/apt,3990,5
3927441,Very Central Nice Flat,Besiktas,41.04812,29.00467,Private room,110,0
3927768,2 Rooms Fully Furnished for Expats,Pendik,40.91884,29.2986,Entire home/apt,309,0
3928008,istiklal caddesine 1 dk ,Beyoglu,41.03361,28.97891,Private room,459,0
3929467,Kadıköy/Seaside,Kadikoy,40.99165,29.0255,Private room,69,0
3930249,A private room in the historical pe,Fatih,41.01149,28.93525,Private room,151,3
3931098,"Cozy and nicely decorated, City Center !",Sisli,41.05207,28.9847,Entire home/apt,617,26
3933581,Coolest flat in Besiktas!,Besiktas,41.05647,29.00641,Private room,233,6
3934760,Un séjour dans le paradis ,Adalar,40.87633,29.0935,Entire home/apt,576,0
3935108,Room with big balcony,Beyoglu,41.03449,28.98443,Private room,308,0
3938250,Modern House in the heart of City,Besiktas,41.04404,29.00264,Entire home/apt,549,1
3943442,Foreign flatmate wanted!!,Beyoglu,41.03046,28.98568,Private room,137,15
3945384,Great Location 07,Beyoglu,41.03571,28.97565,Entire home/apt,261,98
3945835,In the center,Beyoglu,41.03697,28.97519,Private room,459,7
3954648,Room at the center of Kadikoy,Kadikoy,40.99035,29.02669,Private room,308,0
3967028,Modern bir dairede merkezi bir yer,Kadikoy,40.98434,29.06927,Private room,123,0
3967456,Stylish Flat  near to Bosphorus,Besiktas,41.07551,29.0246,Private room,206,1
3968164,Whole floor&terrace @ Bosphorus,Besiktas,41.05277,29.02262,Private room,446,0
3969319,Sweet Flat near Teşvikiye and Beşiktaş,Besiktas,41.046,28.99871,Entire home/apt,254,0
3970170,Spacious Bright Stylish & Central,Sisli,41.06146,28.98469,Entire home/apt,185,0
3970976,cozy flat at the centre of Besiktas,Besiktas,41.04719,29.00135,Private room,233,6
3974396,A Silent Cosy Room in Sisli-Fulya,Sisli,41.05926,28.99324,Private room,103,0
3975639,Beşiktaş merkezde stüdyo daire,Besiktas,41.04854,28.99914,Entire home/apt,514,0
3976366,"NEW! Best Location, Bosphorus View, Chic & Artsy",Beyoglu,41.03218,28.98657,Entire home/apt,528,5
3981244,ETİLER AKMERKEZ KARŞISI EŞYALI,Besiktas,41.07579,29.02318,Entire home/apt,199,0
3991259,Central and Luxury Apartment ,Sisli,41.0601,28.98641,Private room,1220,0
3993690,Hesaplı güvenli oda,Fatih,41.00499,28.97751,Private room,158,0
3993909,Looking For a Flatmate,Beyoglu,41.03751,28.95218,Private room,89,2
3998661,Best Location in Istanbul - Lovely,Sisli,41.06487,28.9947,Private room,103,0
4002505,LUXURY FLAT WİTH TWO GARDENS,Kadikoy,40.99519,29.03364,Entire home/apt,267,31
4017329,Picturesque Garden At Cihangir,Beyoglu,41.03337,28.98704,Entire home/apt,501,4
4018400,Situated in The Heart of Istanbul. ,Sisli,41.06408,28.99795,Entire home/apt,768,0
4020943,Just a chance for October! Cihangir,Kadikoy,40.98411,29.02959,Entire home/apt,267,2
4021593,Great Location 08,Beyoglu,41.03566,28.97596,Entire home/apt,254,116
4021625,Downtown Studio 02,Beyoglu,41.0363,28.97468,Entire home/apt,192,78
4033117,Chef Apartment Galata,Beyoglu,41.02736,28.97683,Private room,384,0
4035128,istanbul'da özel oda,Atasehir,40.96945,29.11163,Private room,199,0
4035266,SUPERİOR 3+1 DUBLEKS VİLLA,Adalar,40.87384,29.1281,Entire home/apt,651,5
4035905,Butique room in the center,Besiktas,41.05693,29.0075,Private room,199,0
4037080,BAHÇE MANZARALI +HAVUZLU 2+1 ÇİNİLİ,Adalar,40.87426,29.1284,Entire home/apt,398,3
4037346,TERASLI HAVUZLU 3+1  DAİRE,Adalar,40.87336,29.12877,Entire home/apt,453,18
4040850,Big Room&Balcony With Istanbul View,Kadikoy,40.98618,29.04839,Private room,110,66
4042565,Comfortable and friendly atmosphere,Kucukcekmece,40.99733,28.76726,Private room,117,2
4042600,LUXURY DAİRE 3+1 T3,Adalar,40.87335,29.12761,Entire home/apt,549,19
4042700,DENİZ MANZARALI DAİRE T4,Adalar,40.87461,29.12909,Entire home/apt,453,14
4042986,KİRALIK ODA,Besiktas,41.07405,29.03699,Private room,768,0
4043923,BAHÇE MANZARALI DAİRE 2+1 Y1,Adalar,40.87415,29.12861,Entire home/apt,274,5
4044038,STANDART DAİRE 2+1 Y2,Adalar,40.87384,29.1281,Entire home/apt,302,3
4044178,"Middle of Cihangir, near Taksim",Beyoglu,41.03171,28.98056,Entire home/apt,768,12
4044301,BALKONLU DAİRE 2+1 Y3,Adalar,40.87478,29.12875,Entire home/apt,322,6
4044582,DENİZ MANZARALI DAİRE 2+1 Y4,Adalar,40.87346,29.12714,Entire home/apt,391,14
4049958,Historical big flat@city center,Beyoglu,41.03754,28.97532,Entire home/apt,295,79
4051131,Beautiful sunny room in  Cihangir,Beyoglu,41.03287,28.98071,Private room,69,1
4052137,A cosy single room in Feriköy Şişli,Sisli,41.05269,28.97686,Private room,62,0
4055708,Anatolian Side Luxurious Spacy apartment!!,Kadikoy,40.97867,29.04268,Private room,843,0
4056987,Perayata Studio#1/near Taksim,Beyoglu,41.03138,28.97065,Entire home/apt,295,148
4057236,The best view of Istanbul,Beyoglu,41.02337,28.97458,Private room,267,46
4057320,Perayata Flat#1/near Taksim,Beyoglu,41.02979,28.9703,Entire home/apt,309,117
4058186,My house to blue mosque 10 mnt walk,Fatih,41.00404,28.97078,Entire home/apt,761,0
4058570,Kadıköyde eşsiz lokasyonda kiralık oda,Kadikoy,40.99402,29.0362,Private room,103,1
4060725,Great House in Taksim,Sisli,41.04118,28.98701,Entire home/apt,3003,0
4061618,Central & Peaceful Flat in Moda,Kadikoy,40.98326,29.03082,Private room,89,2
4062676,"Comfortable  place,near city center",Sisli,41.05968,28.99454,Private room,151,1
4063049,Merkezde Orman Manzaralı Çatı Katı,Umraniye,41.03936,29.11412,Entire home/apt,473,0
4063632,LOVELY DOUBLE BED ROOM IN CIHANGIR,Beyoglu,41.02955,28.98433,Private room,89,19
